id,name,label,superclass,classification,subclass,family,distribution,designer,weight,rg,extra condensed,compressed,condensed,wide,extra wide,display,caption,soft,character,cap48,x48,xheight,counter,adjust,about,history,usage,whattheysay,link,pairing,google,stylesheet,100 Greatest Fonts,Google Ranking,Typewolf Google,Typewolf Adobe,100 Greatest Score,Google Ranking Score,Typewolf Google Score,Typewolf Adobe Score,Good Fonts Table,Score,Quality,Utility,Underrated Boost,In Use Boost,Rating,Year,Vibe,inuse,status
11,Baskerville URW,Baskerville URW,Serif,Transitional,Baskerville,,Adobe,URW Type Foundry;John Baskerville,400;400i;500;500i;700;700i;800;800i;900;900i,400;400i;500;500i;700;700i;800;800i;900;900i,,,,,,,,,5,32,19.5,1.64,51%,0.955223880597015,N/A,"Having neither the gravitas of Garamond or Caslon, the class of a Bodoni or the verve of a contemporary, Baskerville feels truly transitional. It’s low x-height and general low colour make it tricky for body text and larger letter sizes reveal the odd proportions of some of the character forms.",,,https://fonts.adobe.com/fonts/baskerville-urw,Futura;Neuzeit;,Libre Baskerville,dxl8vtn,39,,,13,4,,,14,-5,17,10,6,,10,87,1754,Elegant,"MOCA, Los Angeles;Metropolitan Opera",
12,Bebas Neue Pro,Bebas Neue Pro,Sans,Geometric,DIN,,Adobe,Ryoichi Tsunekawa;Dharma Type,100;100i;200;200i;300;300i;400;400i;500;500i;600;600i;700;700i,100;100i;200;200i;300;300i;400;400i;500;500i;600;600i;,,,,SemiExpanded-100;100i;200;200i;300;300i;400;400i;500;500i;600;600i;700;700i,Expanded-100;100i;200;200i;300;300i;400;400i;500;500i;600;600i;700;700i,,,,2,33.5,24,1.40,31%,1,"<br/>  Bebas Neue is a world wide, the most popular font family with all caps released in 2010. “Pro” has lowercase, Italic and Cyrillic. Bebas Neue “Pro” can extend your possibilities.<br/><br/><br/>",,,,https://fonts.adobe.com/fonts/bebas-neue-pro,,Oswald,vnq6mgg,,,,,,,,,15,15,8,7,,5,76,2019,Neutral,Public Book,
13,Besley,Besley,Serif,Slab,Slab,,Google,Owen Earl;,400..900;400..900i,400..900;400..900i,,,,,,,,,5,36,25,1.44,28%,1.07462686567164,"Besley is a antique slab serif inspired by Robert Besley's Clarendon. It features a full range of weights and matching italics, making it subtle for a variety of uses. A slight rounding of the corners gives a subtle warmth, and OpenType features such as ligatures and contextual substitutions perfect the finer details. It was made with love and will continue to improve with your support.  <br/> The Besley project is designed by Owen Earl (indestructible type*). To contribute, see https://github.com/indestructible-type/Besley",,,,https://fonts.google.com/specimen/Besley,Neuzeit;NeoGrotesque;Franklin;Blake;,,,,53,,,,1,,,,0.333333333333333,10,8,10,,90,2018,Quirky,,"Retain (Free, high quality, underrated)"
14,Bitter,Bitter,Serif,Slab,Slab,,Google,Sol Matas,100..900;100..900i,100..900;100..900i,,,,,,,,,5,33.5,25.5,1.31,51%,1,"People read and interact with text on screens more and more each day. What happens on screen ends up being more important than what comes out of the printer. With the accelerating popularity of electronic books, type designers are working hard to seek out the ideal designs for reading on screen. <br/>Motivated by her love for the pixel, Sol Matas designed Bitter. A &quot;contemporary&quot; slab serif typeface for text, it is specially designed for comfortably reading on any computer or device. The robust design started from the austerity of the pixel grid, based on rational rather than emotional principles. It combines the large x-heights and legibility of the humanistic tradition with subtle characteristics in the characters that inject a certain rhythm to flowing texts. <br/>Bitter has little variation in stroke weight and the Regular style is thicker than a usual ‘Regular’ style for print design. This generates an intense color in paragraphs, accentuated by the serifs that are as thick as strokes with square terminals. <br/>Each glyph is carefully designed with an excellent curve quality added to the first stage of the design, that was entirely made in a pixel grid. The typeface is balanced and manually spaced to use very few kerning pairs. <br/>To contribute, see github.com/solmatas/BitterPro.",,,,https://fonts.google.com/specimen/Bitter,Frutiger;NeoGrotesque;Blake;,,,,17,,,,37,1,1,15,29.3333333333333,7,7,,5,83,2011,Neutral,Ars Technica,
15,Bodoni Moda,Bodoni Moda,Serif,Modern,Bodoni,,Google,Owen Earl;,400..900;400..900i,400..900;400..900i,,,,,,,,,5,36,22,1.64,27%,1.07462686567164,"<br/>Bodoni Moda is a no-compromises Bodoni family, built for the digital age.<br/>This font family includes a full range of weights, italics, an extended character set, OpenType features, and optical sizes,<br/>totalling 64 font files. It was made with love and will continue to improve with your support.<br/><br/><br/>The Bodoni Moda project is designed by Owen Earl (indestructible type*). To contribute, see github.com/indestructible-type/Bodoni<br/>","An open source recreation of a classic, Bodoni connotes style and fashion. Sometimes this is what is needed and is a great choice. Bodoni Moda features some very fine stroke widths at all sizes so be careful when using at smaller sizes. Low x-height makes pairing tricky - try classic geometrics like Futura and Neue Kabel.",,,https://fonts.google.com/specimen/Bodoni+Moda,Futura;Kabel;,,,,42,,,,12,,,15,19,9,7,,,82,1790,Elegant,,"Retain (Free, high quality, underrated)"
16,Bodoni URW,Bodoni URW,Serif,Modern,Bodoni,,Adobe,URW Type Foundry;Giambattista Bodoni,300;300i;400;400i;500;500i;700;700i;800;800i,300;300i;400;400i;500;500i;700;700i;800;800i,,,,,,,,,5,32,19,1.68,32%,0.955223880597015,N/A,"Adobe’s version of modern serif Bodoni. It sacrifices some of the fineness of other Bodoni’s, which makes a little easier to use at smaller sizes. Low x-height still makes longform body copy difficult - try paring with geometric sans serifs like Futura and Neue Kabel.",,,https://fonts.adobe.com/fonts/bodoni-urw,Futura;Kabel;,Bodoni Moda,ijh0jpa,3,,,,16,,,,,32,10,5,,10,92,1790,Elegant,The American Scholar;Museo Egizio,
17,Brandon Grotesque,Brandon Grotesque,Sans,Geometric,Kabel,,Adobe,Hannes von Döhren;HVD Fonts,100;100i;300;300i;400;400i;500;500i;700;700i;900;900i,100;100i;300;300i;400;400i;500;500i;700;700i;900;900i,,,,,,,,,8,33.5,19,1.76,63%,1,N/A,"Brandon Grotesque is a geometric sans serif designed by Hannes von Döhren and released in 2010. It has been a popular choice in digital design ever since and has also been used in corporate branding. Despite its name, Brandon Grotesque is a geometric sans and is similar to older German typefaces like Erbar and Kabel.","Brandon Grotesque is full of character. It might not always be the right choice and might be a bit overused, but it more-or-less sits in class of its own and manages to feel contemporary, quirky and elegant all at once. Very low x-height so might not work for long-term copy or more functional UI design.","Brandon Grotesque is influenced by the geometric-style sans serif faces that were popular during the 1920s and 30s, the fonts are based on geometric forms that have been optically corrected for better legibility.",https://fonts.adobe.com/fonts/brandon-grotesque,Garamond;Caslon;Bodoni;Century;,,jdh5ewi,,,,,,,,,15,15,10,8,,15,110,2010,Quirky,Moleskine;Ferm Living;Pixar,
18,Bricolage Grotesque,Bricolage Grotesque,Sans,Grotesque,Blake,,Google,Mathieu Triay,200;300;400;500;600;700;800,200;300;400;500;600;700;800,,,,,,,,,8,31.5,25,1.26,,0.940298507462687,"Bricolage Grotesque is a collage of lots of different things: historical sources, technical decisions and personal feelings. It started as a fork of Mayenne Sans, an open-source single weight font designed by Jérémy Landes (Studio Triple). It evolved by reinforcing cues from French sources and British sources: the compressed weights lean more towards the anxious and wonky tones of Grotesque Nº9 and the regular weights have a bit more of Antique Olive's relaxed and confident attitude. The smaller optical sizes become more neutral and reflective of contemporary sans serifs, notably through the use of exaggerated ink traps.
By blending iconic British and French designs with modern trends and tools, it aims to traverse a complex typographical and emotional landscape. At the same time, it’s so steeped in historical sources and references that it’s hard to call it anything but a re-interpretation of the same ideas but for a different purpose: trying to express visually what it feels like to move countries and rebuild, what it feels like to have a hybrid identity where you cannot be what you were and yet you can never truly be anybody else.
",,,,https://fonts.google.com/specimen/Bricolage+Grotesque,DIN;Times;Blake;,,,,,,,,,,1,,1,9,6,,,55,2023,Quirky,,
19,Calluna,Calluna,Serif,Old Style,Garamond,Calluna,Adobe,Jos Buivenga;exljbris Font Foundry,300;400;400i;600;600i;700;700i;900,300;400;400i;600;600i;700;700i;900,,,,,,,,,4,32,21.5,1.49,65%,0.955223880597015,"<br/>  Calluna is chunky and assertive, with exaggerated serifs. The precise lines of this serif make it a modern alternative to other old-style types. Calluna combines the charm of classic design with the clean-cut appeal of modernism.<br/><br/><br/>","Calluna is an serif designed by Jos Buivenga and released in 2009. Although broadly humanist or old style in its proportions and stroke widths, Calluna brings some interesting approaches to the serifs themselves that give it a more contemporary feel. It is part of a family along with Calluna Sans.","Calluna is a little underutilised. It has the elegancy and legibility of the old-style serifs for long-form copy, but has an interesting contemporary edge. In a class that is usually seen as traditional, Calluna manages to look design forward whilst being highly practical. Also works great with Calluna Sans.","Calluna is chunky and assertive, with exaggerated serifs. The precise lines of this serif make it a modern alternative to other old-style types. Calluna combines the charm of classic design with the clean-cut appeal of modernism.",https://fonts.adobe.com/fonts/calluna,Johnston;,Source Serif 4,pyq2dra,,,,34,,,,7,,7,10,9,10,5,112,2009,Elegant,Mother Jones,
20,Calluna Sans,Calluna Sans,Sans,Humanist,Johnston,Calluna,Adobe,Jos Buivenga;exljbris Font Foundry,300;300i;400;400i;600;600i;700;700i;900;900i,300;300i;400;400i;600;600i;700;700i;900;900i,,,,,,,,,4,32,21.5,1.49,83%,0.955223880597015,"<br/>  Calluna Sans is a characterful, humanist sans based on the popular Calluna font family. Just as Calluna it has true italics, small caps, lots of ligatures, 4 numeral sets and much more. Calluna Sans comes in 5 weights each with an italic.<br/><br/><br/>","Calluna Sans is a humanist sans serif designed by Jos Buivenga and released in 2009. Despite being a sans, its letter forms are very close to an old-style serif and it is paired with an old-style called Calluna.","Calluna is an underused typeface. It looks elegant and sophisticated, but works well for functional UI design as well. It looks great for long form copy and naturally pairs well with old-style serifs. It looks like a slightly less quirky version of Scala Sans, and is a great alternative if that font is a little too odd for your design.","Calluna Sans is a characterful, humanist sans based on the popular Calluna font family.",https://fonts.adobe.com/fonts/calluna-sans,Neuzeit;Garamond;Caslon;,Gill Sans,wgi2koo,,,,,,,,,,0,10,10,15,,115,2009,Elegant,,"Retain (High quality, paired)"
21,Cardo,Cardo,Serif,Old Style,Garamond,,Google,David Perry,400;400i;700,400;400i;700,,,,,,,,,3,33,21,1.57,66%,0.985074626865672,"Cardo is a large Unicode font specifically designed for the needs of classicists, Biblical scholars, medievalists, and linguists. It also works well for general typesetting in situations where a high-quality Old Style font is appropriate. Its large character set supports many modern languages as well as those needed by scholars. Cardo also contains features that are required for high-quality typography such as ligatures, text figures (also known as old style numerals), true small capitals and a variety of punctuation and space characters.","Cardo is an old-style serif designed by David Perry and released in 2002. It is based on Monotype’s Bembo, which itself is based on the designs of Aldus Manutius. Cardo’s character set is designed to support academic writing.","Cardo one of the highest quality typefaces on Google Fonts and is sadly underused. As a derivation of Bembo, it makes for an interesting alternative to the Garamond and Caslon-style serifs and its higher x-height makes it easier to pair. It is a great choice for setting long-form copy and it’s quality is also apparent at display sizes.","Cardo is a large Unicode font specifically designed for the needs of classicists, Biblical scholars, medievalists, and linguists. It also works well for general typesetting in situations where a high-quality Old Style font is appropriate.",https://fonts.google.com/specimen/Cardo,Futura;Frutiger;Johnston;,,,,28,33,,,26,4,,15,27.6666666666667,9,8,10,,110,2002,Elegant,,"Retain (Free, high quality, underrated)"
22,Cormorant Garamond,Cormorant Garamond,Serif,Old Style,Garamond,,Google,Christian Thalmann,300;300i;400;400i;500;500i;600;600i;700;700i,300;300i;400;400i;500;500i;600;600i;700;700i,,,,,,,,,4,30,20.5,1.46,,0.895522388059701,"Cormorant is a free display type family developed by Christian Thalmann. The project currently comprises a total of 45 font files spanning 9 different visual styles (Roman, Italic, Infant, Infant Italic, Garamond, Garamond Italic, Upright Cursive, Small Caps, and Unicase) and 5 weights (Light, Regular, Medium, SemiBold, and Bold.) Cormorant was conceived, drawn, spaced, kerned, programmed, interpolated, and produced in its entirety by Christian Thalmann of Catharsis Fonts. For an illustrated presentation and description of the family, please visit its Bēhance page.
While this project was heavily inspired by Claude Garamont's immortal legacy, Christian did not use any specific font as a starting point or direct reference for the designs. Most glyphs were drawn from scratch; when he needed guidance on a specific character, he searched for the term Garamond and skimmed through the results for a general impression.
He is grateful to the creative souls on the Typophile, TypeDrawers and Typografie forums, and Github, for a wealth of knowledge about type design, and for providing a large amount of excellent feedback on Cormorant during its development. He also thanks the tireless folks at Glyphs, in particular Rainer Erich Scheichelbauer of Schriftlabor and Georg Seifert. Special thanks go to Dave Crossland and Google Fonts for making the libre release of this font family possible through generous funding of the development process.
The Cormorant project is led by Christian Thalmann, a type designer based in Zurich, Switzerland. To contribute, see github.com/CatharsisFonts/Cormorant
",,,,https://fonts.google.com/specimen/Cormorant+Garamond,Futura;Frutiger;Johnston;,,,,,,,,25,32,,,40.3333333333333,8,6,,5,93,,Elegant,Bolia,
23,Crimson Text,Crimson Text,Serif,Old Style,Garamond,,Google,Sebastian Kosch,400;400i;600;600i;700;700i,400;400i;600;600i;700;700i,,,,,,,,,3,31,21,1.48,60%,0.925373134328358,"Crimson Text is a font family for book production in the tradition of beautiful oldstyle typefaces. <br/>There are a lot of great free fonts around, but one kind is missing: those Garamond-inspired types with all the little niceties like oldstyle figures, small caps, fleurons, math characters and the like. In fact, a lot of time is spend developing free knock-offs of ugly &quot;standards&quot; like Times and Helvetica. <br/>Crimson Text is inspired by the fantastic work of people like Jan Tschichold, Robert Slimbach and Jonathan Hoefler. We hope that the free type community will one day be able to enjoy Crimson Text as a beautiful workhorse. <br/>Several important bug fixes have been brought in March 2022, including the harmonisation of the line-spacing across all styles. <br/>To contribute, see github.com/googlefonts/Crimson.","An old style serif similar to Caslon, Crimson Text is a high quality open-source font with a rather high x-height that makes it easy to pair with a range of typefaces including Proxima and DIN-style geometrics and a range of humanist sans serifs.",,,https://fonts.google.com/specimen/Crimson+Text,Proxima;DIN;Frutiger;Johnston;Meta;Optima;,,,,22,,,,32,,,15,25.6666666666667,7,6,,5,73,2010,Elegant,Architectural Digest,
24,Degular,Degular,Sans,Grotesque,Blake,,Adobe,James Edmondson;OH no Type Co.,200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;800;800i,200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;800;800i,,,,,,,,,6,29,22.5,1.29,7.5,0.865671641791045,N/A,,,,,DIN;Times;Blake;,Syne,kjp5wrj,,,,35,,,,6,15,21,9,8,,5,98,2020,Quirky,Toms,
25,DIN 2014,DIN 2014,Sans,Geometric,DIN,,Adobe,Vasily Biryukov;Paratype,200;200i;300;300i;400;400i;600;600i;700;700i;800;800i,200;200i;300;300i;400;400i;600;600i;700;700i;800;800i,,,Narrow-200;300;400;600;700;800,,,,,,2,33,24,1.38,70%,0.985074626865672,A new variation on the classic technical geometric font. Adds just the right amount of technical precision without looking too sci-fi and with a moderate x-height fits in as an accent just about anywhere. Is reasonably comfortable for body copy but is not suitable for long-form content.,"DIN is a geometric typeface designed by the “Deutsches Institut für Normung” or “German Institute for Standardisation” and published in the technical standard DIN 1451. It was designed for technical applications, traffic and other administrative and government applications and has remained popular in digital design to this day. DIN is now out of copyright so a number of copies have been made by different foundries, including Paratype’s excellent DIN 2014.","DIN 2014 manages to be both technical and elegant - the NYC Ballet use it in their branding and Adidas use their own variant. It really shines when used for its original purpose - for labels, display sizes and short blocks of text. It is less successful for longform copy, although it pairs well with contemporary serifs and humanist sans if you need to add an article or about section to your project.","A contemporary interpretation of the famous DIN typeface. Regular style suits for long texts, while Light and Bold variations work well in large sizes.",https://fonts.adobe.com/fonts/din-2014,Meta;MetaSerif;,Barlow,qsg1nnu,20,,,,9,,,,15,33,10,9,,15,138,1926,Technical,Adidas;NYC Ballet;Nohrd,
26,DM Mono,DM Mono,Mono,GeometricMono,Mono,DM,Google,Colophon Foundry,300;300i;400;400i;500;500i,300;300i;400;400i;500;500i,,,,,,,,,2,33.5,24,1.40,35%,1,"<br/>DM Mono is a three weight, three style family designed for DeepMind. DM Mono was loosely based off of DM Sans, with a reduction in contrast and less geometric proportions.<br/><br/><br/>The type design and font development was commissioned from Colophon Foundry, with Creative Direction from the DeepMind team.<br/><br/><br/>To contribute, see github.com/googlefonts/dm-mono.",,,,https://fonts.google.com/specimen/DM+Mono,Neuzeit;,,,,46,,,,8,,,,2.66666666666667,9,4,,5,44,2020,Neutral,Glamour,
27,DM Sans,DM Sans,Sans,Geometric,Neuzeit,DM,Google,Jonny Pinhorn;Colophon Foundry;Indian Type Foundry,100..1000;100..1000i,100..1000;100..1000i,,,,,,,,,2,33.5,24,1.40,35%,1,,"DM Sans is a clean, friendly geometric sans serif. It was designed by Jonny Pinhorn and brings the quality and character associated with the Colophon foundry to Google fonts. Originally released in 2019 as a variation on Indian Type Foundry’s “Poppins”, it was greatly expanded in 2023 to become a true workhorse font.","DM Sans generally improves on Poppins, giving the letterforms more warmth and character. Although intended for smaller sizes, it looks great at display sizes as well. It has a distinctive double-story lowercase “g” that can be dialled back to a simpler single story variant along with several other useful stylistic alternatives. It also has a serif version, although this is currently limited to a single weight.","DM Sans is a low-contrast geometric sans serif design, intended for use at smaller text sizes.",https://fonts.google.com/specimen/DM+Sans,NeoGrotesque;Times;,,,,26,1,,,28,22,,15,46.3333333333333,9,9,,15,142,2019,Neutral,Griffin Museum;MADE;Rosendahl,
